JournalId,PaperId,Rank,Doi,DocType,Genre,IsParatext,PaperTitle,OriginalTitle,BookTitle,Year,Date,OnlineDate,Publisher,ConferenceSeriesId,ConferenceInstanceId,Volume,Issue,FirstPage,LastPage,ReferenceCount,CitationCount,EstimatedCitation,OriginalVenue,FamilyId,FamilyRank,DocSubTypes,OaStatus,BestUrl,BestFreeUrl,BestFreeVersion,DoiLower,CreatedDate,UpdatedDate
162791694,2076919775,22969,10.1644/837.1,Journal,journal-article,f,loxodontomys micropus rodentia cricetidae,Loxodontomys micropus (Rodentia: Cricetidae),NA,2009,2009-07-28,NA,"The American Society of Mammalogists BioOne 21 Dupont Circle, Ste. 800 Washington, DC 20036",NA,NA,837,837,1,11,72,3,3,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/837.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/837.1/24461102/837.pdf,publishedVersion,10.1644/837.1,NA,2021-11-03 23:47:31.356428
162791694,2148760196,23251,10.1644/809.1,Journal,journal-article,f,aethomys ineptus rodentia muridae,Aethomys ineptus (Rodentia: Muridae),NA,2008,2008-06-06,NA,American Society of Mammalogists,NA,NA,809,809,1,7,48,6,6,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1644/809.1,https://academic.oup.com/mspecies/article-pdf/doi/10.1644/809.1/24460897/809.pdf,publishedVersion,10.1644/809.1,NA,2021-11-03 23:47:31.356428
162791694,2267648639,22087,10.1093/MSPECIES/SEV013,Journal,journal-article,f,kunsia tomentosus rodentia cricetidae,Kunsia tomentosus (Rodentia: Cricetidae),NA,2016,2016-01-07,2016-01-07,The Oxford University Press,NA,NA,48,930,1,9,34,8,8,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sev013,https://academic.oup.com/mspecies/article-pdf/48/930/1/7971099/sev013.pdf,publishedVersion,10.1093/mspecies/sev013,NA,2021-11-03 23:47:31.356428
162791694,2796973500,20744,10.1093/MSPECIES/SEY001,Journal,journal-article,f,myrmecophaga tridactyla pilosa myrmecophagidae,Myrmecophaga tridactyla (Pilosa: Myrmecophagidae),NA,2018,2018-04-12,2018-04-12,American Society of Mammalogists,NA,NA,50,956,1,13,56,19,22,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sey001,https://academic.oup.com/mspecies/article-pdf/50/956/1/24597514/sey001.pdf,publishedVersion,10.1093/mspecies/sey001,NA,2021-11-03 23:47:31.356428
162791694,2892778197,23055,10.1093/MSPECIES/SEY012,Journal,journal-article,f,thylogale billardierii diprotodontia macropodidae,Thylogale billardierii (Diprotodontia: Macropodidae),NA,2018,2018-09-25,2018-09-25,American Society of Mammalogists,NA,NA,50,965,100,108,30,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sey012,https://academic.oup.com/mspecies/article-pdf/50/965/100/25803199/sey012.pdf,publishedVersion,10.1093/mspecies/sey012,NA,2021-11-03 23:47:31.356428
162791694,2977250735,22523,10.1093/MSPECIES/SEZ011,Journal,journal-article,f,tomopeas ravus chiroptera molossidae,Tomopeas ravus (Chiroptera: Molossidae),NA,2019,2019-10-01,2019-10-01,Oxford Academic,NA,NA,51,979,70,74,21,1,1,Mammalian Species,NA,NA,NA,closed,https://doi.org/10.1093/mspecies/sez011,NA,NA,10.1093/mspecies/sez011,NA,2021-11-03 23:47:31.356428
162791694,2198780674,22102,10.1093/MSPECIES/SEV012,Journal,journal-article,f,isoodon obesulus peramelemorphia peramelidae,Isoodon obesulus (Peramelemorphia: Peramelidae),NA,2015,2015-12-31,2015-12-30,American Society of Mammalogists,NA,NA,47,929,112,123,69,8,8,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/sev012,https://academic.oup.com/mspecies/article-pdf/47/929/112/8129735/sev012.pdf,publishedVersion,10.1093/mspecies/sev012,NA,2021-11-03 23:47:31.356428
162791694,2799503863,21105,10.1093/MSPECIES/SEY002,Journal,journal-article,f,canis aureus carnivore canidae,Canis aureus (Carnivore: Canidae),NA,2018,2018-04-17,2018-04-17,Oxford Academic,NA,NA,50,957,14,25,85,12,13,Mammalian Species,NA,NA,NA,hybrid,https://doi.org/10.1093/mspecies/sey002,https://academic.oup.com/mspecies/article-pdf/50/957/14/24637140/sey002.pdf,publishedVersion,10.1093/mspecies/sey002,NA,2021-11-03 23:47:31.356428
162791694,3111055927,23561,10.1093/MSPECIES/SEAA007,Journal,journal-article,f,kobus vardonii artiodactyla bovidae,Kobus vardonii (Artiodactyla: Bovidae),NA,2020,2020-12-15,2020-12-15,Oxford University Press (OUP),NA,NA,52,994,86,104,67,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/seaa007,https://academic.oup.com/mspecies/article-pdf/52/994/86/37929062/seaa007.pdf,publishedVersion,10.1093/mspecies/seaa007,NA,2021-11-03 23:47:31.356428
162791694,3113829302,21255,10.1093/MSPECIES/SEAA011,Journal,journal-article,f,osphranter rufus diprotodontia macropodidae,Osphranter rufus (Diprotodontia: Macropodidae),NA,2020,2020-12-23,2020-12-23,Oxford University Press (OUP),NA,NA,52,998,143,164,162,0,0,Mammalian Species,NA,NA,NA,bronze,https://doi.org/10.1093/mspecies/seaa011,https://academic.oup.com/mspecies/article-pdf/52/998/143/35098136/seaa011.pdf,publishedVersion,10.1093/mspecies/seaa011,NA,2021-11-03 23:47:31.356428
